	latitude	longitude	radius	station	records
0	-78.4	87.583	5.0	SOVIETSKAVA	273
1	-70.4333	24.3167	5.0	BASE ROI BAUDOUIN	1097
2	-69.73	95.05	5.0	PIONERSKAVA	121
3	-66.27	100.73	5.0	BUNGER OASIS	548
4	-53.1	73.7167	5.0	HEARD IS.(THESPIT)	2295
5	-36.85	174.78	5.0	AUCKLAND	2917
6	-34.58	-58.48	5.0	BUENOS AIRES	107
7	-33.6	115.4667	5.0	LUDLOW	539
8	-32.5667	148.95	5.0	WELLINGTON	948
9	-30.5167	151.65	5.0	ARMIDALE	728
10	-30.0833	145.9667	5.0	BOURKE (S23'05'11'17)	130
11	-27.65	152.7167	5.0	AMBERLEY	2455
12	-22.03	-63.68	5.0	YACUIBA	670
13	-17.6833	141.0667	5.0	NORMANTON AIRPORT	229
14	-17.38	-66.17	5.0	COCHABAMBA	1502
15	-14.95	40.67	5.0	MOSSURIL	3085
16	-14.45	-67.53	5.0	RURRENABAQUE	125
17	-13.55	32.583	5.0	CHIPATA	140
18	-12.37	13.53	5.0	LOBITO	100
19	-10.82	-65.37	5.0	GUAYARAMERIN	618
20	-2.2	-81.0	5.0	CHINCHIPE	601
21	5.3333	163.0167	5.0	KUSAIE/CAROLINES	1652
22	8.28	73.05	5.0	MALIKU	574
23	8.8667	2.6	5.0	TCHAOUROU	6364
24	10.3833	-9.3	5.0	KANKAN	11475
25	10.83	106.97	5.0	AN LOC	585
26	12.98	74.88	5.0	MANGALORE/MANGALURU	3322
27	13.0667	-9.4833	5.0	KITA	4283
28	13.75	-60.98	5.0	VIEUX FORT	815
29	14.4333	-11.4333	5.0	KAYES	12798
30	14.5	-4.2	5.0	MOPTI-SEVARE	11065
31	14.8	-17.0667	5.0	THIES	3844
32	15.15	76.95	5.0	BELLARY	989
33	15.58	32.55	5.0	AL-KHARTUM	3020
34	15.85	73.63	5.0	VENGURLA	121
35	16.7333	-9.6333	5.0	AIOUN ELATROUSS	4231
36	17.68	83.35	5.0	WALTAIR	3498
37	18.9	72.82	5.0	COLABA	973
38	18.9167	-155.6833	5.0	MORSE FIELD	492
39	20.57	74.53	5.0	MALEGAON	2563
40	22.37	-73.03	5.0	MAYAGUAN	1160
41	23.1	-82.43	5.0	VILLA SAN CRISTOBAL DE LA HABA	882
42	23.28	69.67	5.0	BHUJ	1679
43	23.6	58.55	5.0	BAIT AL FALAJ	4268
44	23.73	-99.11	5.0	CIUDAD VICTORIA	1366
45	24.3	118.083	5.0	CHIANGYANG	188
46	25.13	62.32	5.0	GWADAR	4276
47	25.25	55.37	5.0	SHARJAH	2477
48	25.5	29.02	5.0	AL-DAKHLA	2591
49	27.2	31.12	5.0	ASYUT	4165
50	27.7	68.92	5.0	SUKKUR	668
51	28.37	28.93	5.0	AL-WAHAT AL-BAHRIYA	1848
52	28.63	77.2	5.0	NEW DEHLI	2068
53	31.08	77.18	5.0	SHIMLA	728
54	31.62	25.93	5.0	SIDI BARRANI	1563
55	31.62	74.4	5.0	LAHORE	12639
56	33.37	43.57	5.0	AL HABBANIYAH	5634
57	34.05	-6.7667	5.0	RABAT	612
58	34.25	108.93	5.0	SIAN	196
59	35.28	139.67	5.0	YOKOSUKA	1414
60	36.77	3.05	5.0	ALGER	2691
61	38.72	-9.15	5.0	LISBOA/GEOFISICO	669
62	39.9	116.47	5.0	PEIPING	701
63	40.97	107.17	5.0	XAMBA	1094
64	41.7833	95.1333	5.0	XING-XING-XIA	122
65	42.9167	-106.3333	5.0	CASPER WYO	10206
66	43.5833	-119.05	5.0	BURNS	7351
67	44.05	43.03	5.0	PJATIGORSK	230
68	44.62	33.53	5.0	SEWASTOPOL	723
69	45.0667	-83.4333	5.0	ALPENA	9221
70	45.9667	-112.5	5.0	BUTTE	12098
71	45.9833	-98.5667	5.0	ELLENDALE	8695
72	46.18	45.35	5.0	YASHKUL	3336
73	46.22	122.05	5.0	ULANHOT	2278
74	46.5667	-87.4	5.0	MARQUETTE	8748
75	47.0	-15.0	5.0	WEATHERSHIP K CIRRUS	477
76	48.15	-103.5833	5.0	WILLISTON	6342
77	48.5667	-109.6667	5.0	HAVRE	20218
78	48.85	2.33	5.0	PARIS	270
79	48.95	-97.25	5.0	PEMBINA	2575
80	49.6	34.55	5.0	POLTAVA	634
81	50.28	-64.17	5.0	MINGAN	632
82	51.12	17.03	5.0	WROCLAW	146
83	51.1333	71.3667	5.0	CELINOGRAD	167
84	51.9833	177.5667	5.0	KISKA ISLAND	308
85	52.8	173.16	5.0	ATTU ISLAND	3463
86	53.05	158.33	5.0	NIKOLAEVKA	127
87	53.7333	87.1833	5.0	ABAGUR	181
88	54.62	-113.33	5.0	MEANOOK	101
89	55.35	-131.65	5.0	KETCHIKAN	5932
90	56.8	60.6	5.0	SWERDLOWSK	171
91	57.58	39.58	5.0	JAROSLAVL	529
92	58.37	-134.58	5.0	JUNEAU	15260
93	59.97	11.03	5.0	KJELLER	1688
94	60.38	5.33	5.0	BERGEN	179
95	61.08	-69.55	5.0	CAPE HOPES ADVANCE STATION	661
96	62.1	42.9	5.0	SENKURSK	255
97	62.85	149.76	5.0	SHTURMOVOY	2661
98	62.97	-141.96	5.0	NORTHWAY	12371
99	63.12	23.08	5.0	KAUHAVA	611
100	63.3333	-149.15	5.0	SUMMIT	2843
101	63.43	-51.18	5.0	MARRAK POINT	353
102	63.5	-90.7	5.0	CHESTERFIELD INLET	472
103	63.85	-171.6	5.0	GAMBELL	8490
104	64.13	-21.9	5.0	REYKJAVIK	270
